stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Dev\source\repos\Facul\PI\Solano\solano\bin\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Dev\source\repos\Facul\PI\Solano\solano\bin\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
dtor     D               dtor.c:196  _al_register_destructor          [   0.00055] added dtor for timer 000002E4DEC67EE0, func 00007FF9CA281050
dtor     D               dtor.c:196  _al_register_destructor          [   0.00068] added dtor for queue 000002E4DEC81E70, func 00007FF9CA281C53
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00173] Also searching C:\Users\Dev\source\repos\Facul\PI\Solano\solano\bin\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00197] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00206] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00872] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.06313] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.06391] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.06400] al_display=000002E4E0A38220
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.06407] al_display->vt=000002E4DED0B130
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.07254] found 288 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.07611] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08032] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.08582] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09691] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.09935] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09961] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.09980] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10001] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.10151] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10714] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.10745] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10764] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.10781] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10800] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.10817] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10856] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.10865] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11091] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11194] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11221] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.11260] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11273] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.11284] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11296] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.11306] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11317] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.11327] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11338] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.11349] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11372] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.11595] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11726] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.11813] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11893] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.11920] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11978] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12008] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12044] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.12072] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12099] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.12124] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12148] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.12165] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12189] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.12212] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12235] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.12252] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12340] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.12385] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12411] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.12432] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12469] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.12494] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12518] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12540] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12555] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.12584] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12610] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.12633] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12656] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.12678] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12702] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.12724] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12751] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.12776] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12822] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.12832] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12879] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.12904] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12931] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.12958] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12988] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13014] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13055] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.13068] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13083] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.13092] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13108] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.13124] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13139] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.13154] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13174] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.13200] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13214] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.13228] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13238] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.13251] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13261] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.13271] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13283] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13305] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13320] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.13332] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13344] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.13356] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13367] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.13384] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13393] Score is : 793
